    n E,keV   unc     isotope cs,b unc   type half-life k0     unc 
  148 6617.7  (3)     xe129 0.0019  (9)   p  S         4.4E-05  (21)
  149 3039.32  (7)    xe136 0.0015  (5)   p  S         3.5E-05  (12)
  150 1302.69  (8)    xe136 0.0012  (3)   p  S         2.8E-05  (7)
  151 2183.91  (8)    xe136 0.0012  (3)   p  S         2.8E-05  (7)
  152 8719.09  (23)   xe129 0.0012  (14)  p  S         3E-05  (3)
  153 321.70  (0)      xe128 0.00110  (20) p  S         2.5E-05  (5)
  154 538.90  (8)     xe136 0.0010  (3)   p  S         2.3E-05  (7)
  155 566.4  (7)      xe130 0.00100     p  S         2.3E-05
  156 141.4  (10)     xe124 0.00091  (13) d  56.9 s    2.1E-05  (3)
  157 7415.2  (14)    xe129 0.0008  (10)  p  S         1.8E-05  (23)
  158 324.70  (10)    xe130 0.00070  (20) p  S         1.6E-05  (5)
  159 39.578  (4)     xe128 0.00069  (14) d  8.88 d    1.6E-05  (3)
  160 1535.10  (8)    xe136 0.00069  (19) p  S         1.6E-05  (4)
  161 2089.03  (8)    xe136 0.00055  (15) p  S         1.3E-05  (4)
  162 223.7  (3)      xe124 0.00050  (20) p  S         1.2E-05  (5)
  163 9255.21  (23)   xe129 0.0005  (6)   p  S         1.2E-05  (14)
  164 196.56  (3)     xe128 0.00042  (8)  d  8.88 d    9.7E-06  (19)
  165 950.30  (8)     xe136 0.00036  (10) p  S         8.3E-06  (23)
  166 1841.59  (8)    xe136 0.00031  (9)  p  S         7.2E-06  (21)
  167 1335.49  (8)    xe136 0.00026  (7)  p  S         6.0E-06  (16)
  168 701.71  (9)     xe136 2.4E-04  (7)  p  S         5.5E-06  (16)
  169 893.30  (11)    xe136 2.4E-04  (7)  p  S         5.5E-06  (16)
  170 268.34  (10)    xe136 2.2E-04  (6)  p  S         5.1E-06  (14)
  171 1067.14  (9)    xe136 2.0E-04  (6)  p  S         4.6E-06  (14)
  172 1504.23  (9)    xe136 2.0E-04  (6)  p  S         4.6E-06  (14)
  173 2490.39  (9)    xe136 1.7E-04  (5)  p  S         3.9E-06  (12)
  174 1829.51  (11)   xe136 1.6E-04  (5)  p  S         3.7E-06  (12)
  175 860.21  (13)    xe136 1.3E-04  (6)  p  S         3.0E-06  (14)
  176 1187.71  (10)   xe136 1.1E-04  (4)  p  S         2.5E-06  (9)
  177 485.00  (20)    xe130 1.0E-04     p  S         2.3E-06
  178 681.96  (9)     xe136 1.0E-04  (3)  p  S         2.3E-06  (7)
  179 1416.86  (13)   xe136 1.0E-04  (3)  p  S         2.3E-06  (7)
  180 1466.23  (16)   xe136 9E-05  (3)    p  S         2.1E-06  (7)
  181 848.95  (6)     xe136 7.1E-05  (4)  d  3.818 m   1.64E-06  (10)
  182 1715.43  (15)   xe136 6.1E-05  (20) p  S         1.4E-06  (5)
  183 1889.41  (9)    xe136 5.0E-05  (15) p  S         1.2E-06  (4)
  184 1783.43  (6)    xe136 4.72E-05  (23) d  3.818 m   1.09E-06  (5)
  185 2564.30  (14)   xe136 4.5E-05  (15) p  S         1.0E-06  (4)
  186 1573.11  (17)   xe136 4.4E-05  (15) p  S         1.0E-06  (4)
  187 1114.45  (15)   xe136 2.8E-05  (10) p  S         6.5E-07  (23)
  188 1273.23  (10)   xe136 2.59E-05  (25) d  3.818 m   6.0E-07  (6)
  189 2007.65  (14)   xe136 2.5E-05  (9)  p  S         5.8E-07  (21)
  190 982.25  (5)     xe136 2.38E-05  (15) d  3.818 m   5.5E-07  (3)
  191 2849.80  (10)   xe136 2.09E-05  (12) d  3.818 m   4.8E-07  (3)
  192 393.35  (6)     xe136 1.60E-05  (11) d  3.818 m   3.7E-07  (3)
  193 1612.52  (6)    xe136 1.42E-05  (11) d  3.818 m   3.3E-07  (3)
  194 298.00  (7)     xe136 1.35E-05  (11) d  3.818 m   3.1E-07  (3)
  195 1119.33  (6)    xe136 1.22E-05  (7) d  3.818 m   2.82E-07  (17)
  196 1576.75  (10)   xe136 1.17E-05  (11) d  3.818 m   2.7E-07  (3)
  197 1916.31  (8)    xe136 1.10E-05  (14) d  3.818 m   2.5E-07  (3)
  198 1114.32  (6)    xe136 1.05E-05  (7) d  3.818 m   2.42E-07  (17)
  199 1569.77  (7)    xe136 9.7E-06  (7)  d  3.818 m   2.24E-07  (17)
  200 594.70  (6)     xe136 9.6E-06  (11) d  3.818 m   2.2E-07  (3)
  201 933.82  (6)     xe136 9.6E-06  (7)  d  3.818 m   2.22E-07  (17)
  202 1184.70  (6)    xe136 9.6E-06  (11) d  3.818 m   2.2E-07  (3)
  203 2393.53  (15)   xe136 9.2E-06  (7)  d  3.818 m   2.12E-07  (17)
  204 1574.83  (15)   xe136 8.2E-06  (11) d  3.818 m   1.9E-07  (3)
  205 1066.60  (20)   xe136 6.2E-06  (11) d  3.818 m   1.4E-07  (3)
  206 1665.30  (7)    xe136 6.0E-06  (4)  d  3.818 m   1.38E-07  (10)
  207 1108.63  (6)    xe136 5.8E-06  (5)  d  3.818 m   1.34E-07  (12)
  208 1067.40  (20)   xe136 5.6E-06  (11) d  3.818 m   1.29E-07  (25)
  209 1195.75  (6)    xe136 5.5E-06  (4)  d  3.818 m   1.27E-07  (10)
  210 1327.98  (6)    xe136 3.3E-06  (3)  d  3.818 m   7.6E-08  (7)
  211 2581.71  (10)   xe136 2.66E-06  (25) d  3.818 m   6.1E-08  (6)
  212 750.65  (10)    xe136 2.38E-06  (25) d  3.818 m   5.5E-08  (6)
  213 683.20  (10)    xe136 2.31E-06  (25) d  3.818 m   5.3E-08  (6)
  214 2000.30  (20)   xe136 2.02E-06  (21) d  3.818 m   4.7E-08  (5)
  215 2921.90  (20)   xe136 2.02E-06  (18) d  3.818 m   4.7E-08  (4)
  216 1461.16  (20)   xe136 1.95E-06  (25) d  3.818 m   4.5E-08  (6)
  217 1102.42  (10)   xe136 1.88E-06  (18) d  3.818 m   4.3E-08  (4)
  218 1867.96  (8)    xe136 1.85E-06  (18) d  3.818 m   4.3E-08  (4)
  219 482.14  (12)    xe136 1.7E-06  (4)  d  3.818 m   3.9E-08  (9)
  220 2084.47  (10)   xe136 1.56E-06  (11) d  3.818 m   3.6E-08  (3)
  221 2099.42  (15)   xe136 1.53E-06  (14) d  3.818 m   3.5E-08  (3)
  222 3159.40  (20)   xe136 1.35E-06  (14) d  3.818 m   3.1E-08  (3)
  223 2068.00  (20)   xe136 1.17E-06  (11) d  3.818 m   2.7E-08  (3)
  224 1564.00  (20)   xe136 1.14E-06  (14) d  3.818 m   2.6E-08  (3)
  225 1280.05  (15)   xe136 1.06E-06  (11) d  3.818 m   2.4E-08  (3)
  226 2188.44  (10)   xe136 9.2E-07  (11) d  3.818 m   2.1E-08  (3)
  227 2096.4  (3)     xe136 8.2E-07  (11) d  3.818 m   1.9E-08  (3)
  228 715.20  (20)    xe136 7.5E-07  (18) d  3.818 m   1.7E-08  (4)
  229 1250.6  (4)     xe136 7.5E-07  (11) d  3.818 m   1.7E-08  (3)
  230 2003.4  (3)     xe136 7.5E-07  (14) d  3.818 m   1.7E-08  (3)
  231 2367.65  (20)   xe136 7.5E-07  (11) d  3.818 m   1.7E-08  (3)
  232 3694.0  (3)     xe136 7.1E-07  (7)  d  3.818 m   1.64E-08  (16)
  233 1761.3  (3)     xe136 6.7E-07  (18) d  3.818 m   1.5E-08  (4)
  234 1907.70  (20)   xe136 6.0E-07  (7)  d  3.818 m   1.38E-08  (16)
  235 1651.14  (20)   xe136 5.0E-07  (7)  d  3.818 m   1.15E-08  (16)
  236 3037.40  (20)   xe136 5.0E-07  (7)  d  3.818 m   1.15E-08  (16)
  237 802.4  (4)      xe136 4.6E-07  (14) d  3.818 m   1.1E-08  (3)
  238 2212.10  (20)   xe136 4.6E-07  (7)  d  3.818 m   1.06E-08  (16)
  239 1236.2  (4)     xe136 3.9E-07  (7)  d  3.818 m   9.0E-09  (16)
  240 1594.0  (6)     xe136 3.5E-07  (7)  d  3.818 m   8.1E-09  (16)
  241 1219.0  (4)     xe136 3.2E-07  (7)  d  3.818 m   7.4E-09  (16)
  242 2489.60  (20)   xe136 3.1E-07  (4)  d  3.818 m   7.2E-09  (9)
  243 1947.00  (20)   xe136 3.0E-07  (4)  d  3.818 m   6.9E-09  (9)
  244 633.4  (5)      xe136 2.8E-07  (14) d  3.818 m   6E-09  (3)
  245 2255.3  (3)     xe136 2.8E-07  (4)  d  3.818 m   6.5E-09  (9)
  246 1726.3  (3)     xe136 2.7E-07  (5)  d  3.818 m   6.2E-09  (12)
  247 2216.8  (4)     xe136 2.7E-07  (11) d  3.818 m   6.2E-09  (25)
  248 3377.40  (20)   xe136 2.3E-07  (3)  d  3.818 m   5.3E-09  (7)
  249 3583.7  (3)     xe136 2.2E-07  (3)  d  3.818 m   5.1E-09  (7)
  250 1518.8  (5)     xe136 2.1E-07  (7)  d  3.818 m   4.8E-09  (16)
  251 1232.1  (7)     xe136 1.8E-07  (7)  d  3.818 m   4.2E-09  (16)
  252 2528.6  (6)     xe136 1.7E-07  (4)  d  3.818 m   3.9E-09  (9)
  253 2287.1  (4)     xe136 1.6E-07  (3)  d  3.818 m   3.7E-09  (7)
  254 2735.2  (4)     xe136 1.6E-07  (3)  d  3.818 m   3.7E-09  (7)
  255 1933.3  (4)     xe136 1.5E-07  (4)  d  3.818 m   3.5E-09  (9)
  256 3907.1  (4)     xe136 1.53E-07  (25) d  3.818 m   3.5E-09  (6)
  257 1974.9  (9)     xe136 1.3E-07  (4)  d  3.818 m   3.0E-09  (9)
  258 1720.9  (6)     xe136 1.2E-07  (5)  d  3.818 m   2.8E-09  (12)
  259 2311.1  (5)     xe136 1.1E-07  (3)  d  3.818 m   2.5E-09  (7)
  260 2638.9  (7)     xe136 1.0E-07  (4)  d  3.818 m   2.3E-09  (9)
  261 2463.3  (7)     xe136 8E-08  (3)    d  3.818 m   1.8E-09  (7)
  262 2304.5  (8)     xe136 6E-08  (3)    d  3.818 m   1.4E-09  (7)
  263 3451.8  (8)     xe136 5.3E-08  (25) d  3.818 m   1.2E-09  (6)
  264 3955.5  (8)     xe136 3.9E-08  (14) d  3.818 m   9E-10  (3)
  265 3736.9  (7)     xe136 3.5E-08  (11) d  3.818 m   8.1E-10  (25)
  266 3976.4  (8)     xe136 3.5E-08  (14) d  3.818 m   8E-10  (3)
  267 3940.7  (9)     xe136 2.8E-08  (14) d  3.818 m   6E-10  (3)
